City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
550,Moindou,NC,84.2,scattered clouds,-21.6924,165.67700000000002,Mouidou
557,Ferkessedougou,CI,79.9,scattered clouds,9.6,-5.2,Ferkessédougou
558,Manuk Mangkaw,PH,80.42,overcast clouds,4.8,119.85,Simunul
566,Tecolutla,MX,82.4,clear sky,20.4833,-97.0167,Tecolutla
567,Puerto Maldonado,PE,75.69,scattered clouds,-12.6,-69.1833,Cercado de Tambopata
569,Boundiali,CI,76.03,clear sky,9.5217,-6.4869,Boundiali
570,Alyangula,AU,80.6,overcast clouds,-13.8483,136.4192,Alyangula
574,Arawa,PG,85.28,light rain,-6.2132,155.5367,Arawa
576,Maragogi,BR,78.1,clear sky,-9.0122,-35.2225,Maragogi
577,Richards Bay,ZA,75.43,overcast clouds,-28.783,32.0377,Richards Bay
578,Biloela,AU,83.97,clear sky,-24.4167,150.5,Biloela
581,Tagusao,PH,79.74,overcast clouds,9.1924,117.8141,Quezon
583,Puerto Escondido,MX,82.4,broken clouds,15.85,-97.0667,Puerto Escondido
584,Tanhacu,BR,79.3,overcast clouds,-14.0214,-41.2481,Tanhaçu
585,Faanui,PF,81.57,light rain,-16.4833,-151.75,Vaitape
589,Imbituba,BR,75.2,clear sky,-28.24,-48.6703,Imbituba
590,Hounde,BF,78.33,scattered clouds,11.5,-3.5167,Hounde
597,Mahanoro,MG,75.51,scattered clouds,-19.9,48.8,Mahanoro
598,Del Rio,US,75.2,clear sky,29.3627,-100.8968,Del Rio
602,Bonthe,SL,77.68,scattered clouds,7.5264,-12.505,Bonthe
604,Bacolod,PH,80.44,broken clouds,10.6667,122.95,Bacolod
606,Tucurui,BR,79.21,overcast clouds,-3.7661,-49.6725,Tucuruí
607,Oriximina,BR,80.92,overcast clouds,-1.7656,-55.8661,Oriximiná
610,Port Blair,IN,77.86,scattered clouds,11.6667,92.75,Port Blair
611,Nanakuli,US,78.8,clear sky,21.3906,-158.1547,Nānākuli
624,Katobu,ID,80.2,broken clouds,-4.9408,122.5276,Kampani
641,Hervey Bay,AU,87.01,broken clouds,-25.2986,152.8535,Hervey Bay
652,Pochutla,MX,80.01,broken clouds,15.7432,-96.4661,Pochutla District
656,Farafangana,MG,77.63,overcast clouds,-22.8167,47.8333,Farafagana
658,Goundam,ML,75.31,overcast clouds,16.4145,-3.6708,Goundam
659,Lamu,KE,78.8,clear sky,-2.2717,40.902,Lamu
661,La Orilla,MX,78.75,clear sky,17.9833,-102.2333,Lázaro Cárdenas
670,Natal,BR,78.8,clear sky,-5.795,-35.2094,Natal
672,Owando,CG,75.36,broken clouds,-0.4819,15.8999,Owando
676,Bowen,AU,82.4,scattered clouds,-20.0167,148.2333,Bowen
677,Sattahip,TH,75.2,haze,12.6664,100.9007,Sattahip
679,Gorontalo,ID,79.63,overcast clouds,0.5412,123.0595,Gorontalo
683,La Libertad,EC,80.6,clear sky,-2.2333,-80.9,La Libertad
684,Sinaloa,MX,82.0,clear sky,25.0,-107.5,Los Pochotes
685,Mandiana,GN,80.04,broken clouds,10.6333,-8.6833,Mandiana
