City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Cape Coast,GH,2021-02-04 17:54:12,5.1053,-1.2466,81.99,80,6,12.82
93,Saskylakh,RU,2021-02-04 17:52:12,71.9167,114.0833,-41.35,75,0,4.56
94,Mayumba,GA,2021-02-04 17:54:12,-3.432,10.6554,80.46,86,60,7.0
95,Koratla,IN,2021-02-04 17:54:12,18.8167,78.7167,67.23,32,0,5.68
96,Chicama,PE,2021-02-04 17:54:12,-7.8447,-79.1469,71.6,83,40,9.22
97,Juneau,US,2021-02-04 17:54:12,58.3019,-134.4197,28.4,86,90,3.42
98,Cabo San Lucas,MX,2021-02-04 17:49:32,22.8909,-109.9124,81.0,36,20,3.44
99,Cape Town,ZA,2021-02-04 17:50:13,-33.9258,18.4232,71.6,68,0,18.41
100,Avarua,CK,2021-02-04 17:54:13,-21.2078,-159.775,78.8,89,100,2.3
101,Kaitangata,NZ,2021-02-04 17:52:02,-46.2817,169.8464,44.02,90,1,6.98
102,Pacific Grove,US,2021-02-04 17:53:01,36.6177,-121.9166,54.0,76,1,5.75
103,Victoria,HK,2021-02-04 17:52:23,22.2855,114.1577,66.0,84,0,3.0
104,Zhigansk,RU,2021-02-04 17:54:13,66.7697,123.3711,-43.2,74,0,11.25
105,Buala,SB,2021-02-04 17:52:54,-8.145,159.5921,78.67,82,99,8.08
106,Ribeira Grande,PT,2021-02-04 17:54:13,38.5167,-28.7,57.2,54,40,5.75
107,Winslow,US,2021-02-04 17:52:22,35.0242,-110.6974,45.0,49,1,5.75
108,Cidreira,BR,2021-02-04 17:52:03,-30.1811,-50.2056,78.76,64,57,17.43
109,Lahan,NP,2021-02-04 17:54:14,26.7296,86.4951,61.79,44,0,4.38
110,Mahebourg,MU,2021-02-04 17:52:29,-20.4081,57.7,80.6,74,20,9.22
111,North Bend,US,2021-02-04 17:51:13,43.4065,-124.2243,43.0,93,1,6.91
112,Bilma,NE,2021-02-04 17:54:14,18.6853,12.9164,67.87,24,11,6.96
113,Tomatlan,MX,2021-02-04 17:54:14,19.9333,-105.25,89.31,22,0,6.62
114,Klaksvik,FO,2021-02-04 17:54:14,62.2266,-6.589,33.8,64,20,18.41
115,San Quintin,MX,2021-02-04 17:54:14,30.4833,-115.95,60.94,69,100,14.58
116,Fort Nelson,CA,2021-02-04 17:54:15,58.8053,-122.7002,-14.8,64,75,2.3
117,Semey,KZ,2021-02-04 17:53:15,50.4111,80.2275,27.41,98,100,4.41
118,Uige,AO,2021-02-04 17:54:15,-7.6087,15.0613,70.75,90,32,0.92
119,Pingliang,CN,2021-02-04 17:54:15,35.5392,106.6861,33.93,65,100,9.19
120,Santa Isabel Do Rio Negro,BR,2021-02-04 17:54:15,-0.4139,-65.0192,86.83,68,100,3.44
121,Kutum,SD,2021-02-04 17:54:15,14.2,24.6667,62.58,28,40,14.0
