City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Concordia,AR,-31.393,-58.0209,78.8,57,0,6.91,clear sky
109,Sola,VU,-13.8833,167.55,81.43,79,53,11.25,broken clouds
110,Bluff,NZ,-46.6,168.3333,59.4,73,66,2.15,broken clouds
111,Arraial Do Cabo,BR,-22.9661,-42.0278,75.97,93,100,7.99,light rain
112,Castro,BR,-24.7911,-50.0119,61.0,58,0,1.74,clear sky
113,Tomatlan,MX,19.9333,-105.25,78.49,70,0,6.98,clear sky
114,Nouadhibou,MR,20.931,-17.0347,64.4,72,40,6.91,scattered clouds
115,Qaanaaq,GL,77.484,-69.3632,-5.66,77,100,8.34,overcast clouds
116,Bethel,US,41.3712,-73.414,36.0,86,1,3.44,clear sky
117,Sao Filipe,CV,14.8961,-24.4956,69.42,77,25,12.19,scattered clouds
118,Kulhudhuffushi,MV,6.6221,73.07,81.75,71,70,10.16,broken clouds
119,Chateaudun,FR,48.0833,1.3333,46.4,100,100,4.61,light rain
120,Dobson,US,36.3957,-80.7226,44.6,39,1,5.75,clear sky
121,Dickinson,US,29.4608,-95.0513,53.01,81,90,11.5,overcast clouds
122,Olafsvik,IS,64.8945,-23.7142,38.16,78,92,25.57,overcast clouds
123,Smidovich,RU,48.6,133.8167,-6.86,88,85,3.65,overcast clouds
124,Ilulissat,GL,69.2167,-51.1,8.6,36,2,11.5,clear sky
125,Port Alfred,ZA,-33.5906,26.891,70.0,94,82,1.99,broken clouds
126,Hobart,AU,-42.8794,147.3294,71.01,78,75,8.05,broken clouds
127,Kloulklubed,PW,7.0419,134.2556,77.0,94,90,12.66,overcast clouds
128,Airai,TL,-8.9266,125.4092,63.19,100,100,3.89,overcast clouds
129,Abalak,RU,58.1286,68.5944,33.37,98,100,9.04,overcast clouds
130,Hun,LY,29.1268,15.9477,61.77,32,100,8.21,overcast clouds
131,Ajdabiya,LY,30.7554,20.2263,58.71,60,5,5.1,clear sky
132,Iqaluit,CA,63.7506,-68.5145,23.0,86,75,27.63,snow
133,Torbay,CA,47.6666,-52.7314,36.0,100,90,27.63,overcast clouds
134,Jalu,LY,29.0331,21.5482,52.75,63,0,2.77,clear sky
135,Chissamba,AO,-12.1667,17.3333,65.19,91,100,2.3,light rain
136,Te Anau,NZ,-45.4167,167.7167,72.86,47,88,1.95,overcast clouds
137,Formosa Do Rio Preto,BR,-11.0483,-45.1931,72.57,87,53,2.37,broken clouds
138,Shyroke,UA,47.6917,33.2571,23.0,68,40,6.71,scattered clouds
139,Ampanihy,MG,-24.7,44.75,76.06,88,78,3.2,broken clouds
140,Przeworsk,PL,50.0591,22.4941,28.99,95,100,8.86,light snow
141,Ponta Delgada,PT,37.7333,-25.6667,55.99,94,75,3.44,broken clouds
142,Eyl,SO,7.9803,49.8164,70.84,80,12,11.39,few clouds
143,Los Llanos De Aridane,ES,28.6585,-17.9182,60.8,51,0,17.27,clear sky
144,Tasiilaq,GL,65.6145,-37.6368,24.8,50,75,2.3,broken clouds
145,San Vicente De Chucuri,CO,6.881,-73.4098,71.6,73,75,3.44,broken clouds
146,Gat,IL,31.61,34.7642,59.0,100,39,2.39,scattered clouds
147,Labrea,BR,-7.2586,-64.7981,73.62,96,100,2.71,light rain
148,Thongwa,MM,16.7619,96.5278,73.4,88,20,4.61,few clouds
149,Cassilandia,BR,-19.1133,-51.7342,73.74,86,53,4.79,broken clouds
150,Alugan,PH,12.2188,125.4808,79.83,84,29,12.21,scattered clouds
151,Zhezkazgan,KZ,47.8043,67.7144,20.41,96,36,7.65,scattered clouds
152,Lorengau,PG,-2.0226,147.2712,84.11,68,75,6.38,broken clouds
153,Saskylakh,RU,71.9167,114.0833,-30.51,83,87,5.32,overcast clouds
154,Pevek,RU,69.7008,170.3133,-16.8,86,26,0.43,scattered clouds
155,Simoes,BR,-7.5989,-40.8178,82.2,40,76,4.45,broken clouds
156,Sylvan Lake,CA,52.3168,-114.0853,-5.8,77,90,8.05,overcast clouds
157,Chaozhou,CN,23.6651,116.6379,55.4,100,0,1.5,mist
158,Tabou,CI,4.423,-7.3528,78.91,91,42,8.14,scattered clouds
159,Stokmarknes,NO,68.5646,14.9108,32.0,64,40,8.05,scattered clouds
160,Hirara,JP,24.8,125.2833,62.6,82,20,4.61,few clouds
161,Manadhoo,MV,5.7667,73.3833,81.57,74,56,9.08,broken clouds
162,Tres Palos,MX,18.1833,-101.6167,84.2,70,40,5.75,scattered clouds
163,Carnarvon,AU,-24.8667,113.6333,80.6,74,90,25.32,overcast clouds
164,Tongliao,CN,43.6125,122.2653,10.98,95,24,7.34,few clouds
165,Saint George,US,37.1041,-113.5841,59.0,23,1,24.16,clear sky
166,Kungurtug,RU,50.5994,97.5228,-5.3,84,66,1.97,broken clouds
167,Isla Mujeres,MX,21.2311,-86.731,80.6,69,40,13.8,scattered clouds
168,Bay Roberts,CA,47.5999,-53.2648,36.0,100,90,27.63,overcast clouds
169,Poum,NC,-20.2333,164.0167,79.88,72,5,8.34,clear sky
170,Nioro,GM,13.35,-15.75,70.59,45,92,11.21,overcast clouds
171,Adrar,MR,20.5022,-10.0711,61.48,34,49,9.04,scattered clouds
172,Coahuayana,MX,18.7333,-103.6833,75.2,73,40,5.06,scattered clouds
173,Cabo Rojo,PR,18.0866,-67.1457,79.0,83,33,1.01,scattered clouds
174,Arlit,NE,18.7369,7.3853,66.34,24,0,8.79,clear sky
175,Mangawan,IN,24.6833,81.55,57.15,78,79,1.86,broken clouds
176,Teya,RU,60.3778,92.6267,-3.12,89,100,4.23,overcast clouds
177,Sakakah,SA,29.9697,40.2064,53.6,82,0,9.22,clear sky
178,Chuy,UY,-33.6971,-53.4616,61.41,81,24,7.14,few clouds
179,Wagar,SD,16.1525,36.2032,57.88,35,0,9.53,clear sky
180,Saint-Georges,GD,12.0564,-61.7485,78.8,78,20,23.02,few clouds
181,Nalut,LY,30.3333,10.85,59.05,33,100,12.17,overcast clouds
182,Vao,NC,-22.6667,167.4833,78.55,84,0,10.0,clear sky
183,Ust-Omchug,RU,61.15,149.6333,-20.54,82,86,2.82,overcast clouds
184,Sungaipenuh,ID,-2.0833,101.3833,63.77,91,94,4.25,overcast clouds
185,Varkaus,FI,62.3153,27.873,5.0,85,0,9.22,clear sky
186,Avanigadda,IN,16.0215,80.9181,65.14,78,3,2.46,clear sky
187,Rio Branco,BR,-9.9747,-67.81,80.6,83,40,1.14,scattered clouds
188,Dalnerechensk,RU,45.9339,133.7225,-1.59,92,66,4.38,broken clouds
189,Kenai,US,60.5544,-151.2583,15.01,85,90,3.44,overcast clouds
190,Vila Do Maio,CV,15.1333,-23.2167,68.0,68,40,20.71,scattered clouds
191,San Patricio,US,28.017,-97.5169,64.4,59,90,11.5,overcast clouds
192,Bambous Virieux,MU,-20.3428,57.7575,77.0,83,75,3.44,light rain
193,Sioux Lookout,CA,50.1001,-91.917,-2.2,71,90,16.11,snow
194,Cayenne,GF,4.9333,-52.3333,77.0,100,75,4.61,light rain
195,Port Lincoln,AU,-34.7333,135.8667,64.78,76,90,15.86,overcast clouds
196,Laem Sing,TH,12.4816,102.0738,73.0,88,15,4.18,few clouds
197,Chambas,CU,22.1928,-78.9136,77.0,83,20,9.22,few clouds
198,Tessalit,ML,20.1986,1.0114,71.94,18,77,15.08,broken clouds
199,Comodoro Rivadavia,AR,-45.8667,-67.5,62.6,55,0,13.8,clear sky
200,Ambon,ID,-3.6954,128.1814,80.6,89,20,3.44,few clouds
201,Rabo De Peixe,PT,37.8,-25.5833,55.99,94,75,3.44,broken clouds
202,East London,ZA,-33.0153,27.9116,73.62,89,99,10.02,light rain
203,Beyneu,KZ,45.3167,55.2,40.41,91,99,17.6,overcast clouds
204,Massakory,TD,12.996,15.7293,67.86,24,0,15.32,clear sky
205,Faya,SA,18.3851,42.4509,55.4,43,0,16.11,clear sky
206,Kaitangata,NZ,-46.2817,169.8464,63.0,64,44,5.99,scattered clouds
207,North Platte,US,41.1239,-100.7654,37.4,52,1,6.91,clear sky
208,Soverato,IT,38.685,16.5499,55.99,82,43,6.91,scattered clouds
209,Gore,NZ,-46.1028,168.9436,73.78,54,28,2.44,scattered clouds
210,Agadez,NE,19.75,10.25,56.59,35,0,3.13,clear sky
211,Ostrovnoy,RU,68.0531,39.5131,13.66,92,100,10.38,overcast clouds
212,Kikwit,CD,-5.041,18.8162,74.46,89,100,1.68,light rain
213,Haapiti,PF,-17.5667,-149.8667,82.4,69,75,4.61,broken clouds
214,High Level,CA,58.5169,-117.136,-16.6,69,1,3.44,clear sky
215,Dungarvan,IE,52.0881,-7.6253,42.01,93,75,1.01,broken clouds
216,Poplar Bluff,US,36.757,-90.3929,46.99,53,90,5.75,overcast clouds
217,Bend,US,44.0582,-121.3153,51.8,35,1,8.05,clear sky
218,Berbera,SO,10.4396,45.0143,73.04,77,0,4.34,clear sky
219,Severo-Kurilsk,RU,50.6789,156.125,15.58,82,69,5.32,broken clouds
220,Prince George,CA,53.9166,-122.753,28.99,80,90,10.36,overcast clouds
221,Pisco,PE,-13.7,-76.2167,71.6,83,0,17.27,clear sky
222,Uige,AO,-7.6087,15.0613,68.45,87,100,1.45,overcast clouds
223,Raudeberg,NO,61.9875,5.1352,27.0,57,0,8.05,clear sky
224,Narsaq,GL,60.9167,-46.05,17.6,49,0,2.3,clear sky
225,Champerico,GT,14.3,-91.9167,84.2,65,40,6.91,scattered clouds
226,Okaihau,NZ,-35.3167,173.7833,73.09,55,100,4.41,overcast clouds
227,Pitea,SE,65.3172,21.4794,17.6,93,40,10.36,scattered clouds
228,Vila,PT,42.0304,-8.1588,45.0,92,100,8.7,overcast clouds
229,Zhenhai,CN,24.2582,118.0905,57.2,94,0,2.24,mist
230,Mahebourg,MU,-20.4081,57.7,77.0,83,75,3.44,light rain
231,Najran,SA,17.4924,44.1277,64.4,27,0,11.9,clear sky
232,Broome,US,42.2506,-75.833,33.8,47,20,18.41,few clouds
233,Qinhuangdao,CN,39.9317,119.5883,35.87,75,0,3.67,clear sky
234,Karratha,AU,-20.7377,116.8463,81.37,71,20,10.29,light rain
235,Puro,PH,12.4841,123.3827,79.3,81,27,10.98,scattered clouds
236,Key Largo,US,25.0865,-80.4473,71.01,86,22,7.4,few clouds
237,Bodden Town,KY,19.2833,-81.25,79.0,89,75,10.36,broken clouds
238,Tanabe,JP,33.7333,135.3667,50.0,66,75,2.3,broken clouds
239,Norman Wells,CA,65.282,-126.8329,-27.4,68,75,2.3,broken clouds
240,Paoua,CF,7.2427,16.4406,70.48,25,8,5.08,clear sky
241,Grants Pass,US,42.439,-123.3284,50.0,71,75,1.05,broken clouds
242,Srednekolymsk,RU,67.45,153.6833,-23.48,84,6,0.54,clear sky
243,Chokurdakh,RU,70.6333,147.9167,-17.43,87,99,11.88,overcast clouds
244,Vila Velha,BR,-20.3297,-40.2925,82.4,74,75,11.5,broken clouds
245,Peniche,PT,39.3558,-9.3811,53.01,89,90,14.0,overcast clouds
246,Newcastle,AU,-32.9272,151.7765,77.0,73,100,9.22,overcast clouds
247,Niceville,US,30.5169,-86.4822,55.99,66,90,9.22,overcast clouds
248,Pangnirtung,CA,66.1451,-65.7125,19.4,86,90,4.61,light snow
249,Rundu,NA,-17.9333,19.7667,69.87,76,68,1.79,light rain
250,Ewa Beach,US,21.3156,-158.0072,78.8,44,1,12.66,clear sky
251,Panna,IN,24.7167,80.2,57.04,78,83,3.36,broken clouds
252,Salme,NP,28.0369,85.0942,48.2,76,75,2.3,broken clouds
253,Svetlyy,RU,54.675,20.1347,15.8,86,75,6.71,light snow
254,Nogliki,RU,51.8333,143.1667,-4.5,89,100,8.7,overcast clouds
255,Allapalli,IN,19.4167,80.0667,58.75,57,2,0.94,clear sky
256,Warwick,US,41.7001,-71.4162,41.0,81,90,4.61,overcast clouds
257,Ubinskoye,RU,55.3068,79.6802,16.72,98,92,6.67,overcast clouds
258,Ola,RU,59.5833,151.2833,-1.55,85,86,16.93,overcast clouds
259,Manakara,MG,-22.1333,48.0167,76.75,86,100,7.29,overcast clouds
260,Fez,MA,34.0372,-4.9998,50.0,93,75,3.44,broken clouds
261,Jacareacanga,BR,-6.2222,-57.7528,76.21,93,96,1.77,overcast clouds
262,Hami,CN,42.8,93.45,27.61,85,81,4.61,broken clouds
263,Talnakh,RU,69.4865,88.3972,-26.52,84,94,4.5,overcast clouds
264,Mount Gambier,AU,-37.8333,140.7667,62.6,72,40,13.8,scattered clouds
265,Shevchenkove,UA,49.6959,37.1735,17.6,73,90,13.42,light snow
266,Tecoanapa,MX,16.5167,-98.75,80.71,67,15,7.2,few clouds
267,Irbeyskoye,RU,55.6428,95.4522,5.81,91,100,3.29,overcast clouds
268,Rio Rancho,US,35.2334,-106.6645,55.0,19,1,11.5,clear sky
269,Ruidoso,US,33.3317,-105.673,51.01,14,1,13.8,clear sky
270,Nicoya,CR,10.1483,-85.452,82.4,65,20,10.36,few clouds
271,Paita,PE,-5.0892,-81.1144,75.4,73,23,16.53,few clouds
272,Nikolskoye,RU,59.7035,30.7861,12.0,78,75,11.18,light snow
273,Thompson,CA,55.7435,-97.8558,-18.4,63,75,14.97,snow
274,Kapit,MY,2.0167,112.9333,74.68,94,99,0.2,overcast clouds
275,Olinda,BR,-8.0089,-34.8553,80.6,69,40,5.75,scattered clouds
276,Sindor,RU,62.8629,51.8905,-3.78,91,100,12.53,overcast clouds
277,Tahe,CN,52.3333,124.7333,-15.92,84,78,4.03,broken clouds
278,Yulara,AU,-25.2406,130.9889,73.4,28,9,16.11,clear sky
279,Pacific Grove,US,36.6177,-121.9166,59.0,62,1,6.91,clear sky
280,Guerrero Negro,MX,27.9769,-114.0611,64.94,49,0,17.81,clear sky
281,Berdigestyakh,RU,62.0989,126.6992,-42.32,78,47,3.69,scattered clouds
282,Geraldton,AU,-28.7667,114.6,60.8,88,90,25.32,overcast clouds
283,Maniitsoq,GL,65.4167,-52.9,17.06,73,77,6.26,broken clouds
284,Cidreira,BR,-30.1811,-50.2056,68.14,70,15,15.14,few clouds
285,Christchurch,NZ,-43.5333,172.6333,62.6,63,75,16.11,broken clouds
286,Lasa,IT,46.6166,10.7002,41.0,93,0,5.75,clear sky
287,Samarai,PG,-10.6167,150.6667,84.6,71,6,5.84,clear sky
288,Praia Da Vitoria,PT,38.7333,-27.0667,57.2,94,75,16.06,broken clouds
289,Codrington,AU,-38.2667,141.9667,63.79,70,17,15.7,few clouds
290,Asfi,MA,32.2994,-9.2372,57.29,73,83,7.0,broken clouds
291,Cabo San Lucas,MX,22.8909,-109.9124,82.4,34,1,10.36,clear sky
292,Manggar,ID,-2.8833,108.2667,80.22,82,75,12.03,broken clouds
293,Lalibela,ET,12.0333,39.0333,47.23,55,2,2.86,clear sky
294,Shache,CN,38.4167,77.2406,25.23,88,14,0.09,few clouds
295,Manta,EC,-0.95,-80.7333,80.6,74,75,6.91,broken clouds
296,Calvinia,ZA,-31.4707,19.776,64.27,53,0,1.45,clear sky
297,Namibe,AO,-15.1961,12.1522,70.72,81,35,7.25,scattered clouds
298,Deniliquin,AU,-35.5333,144.9667,68.0,59,12,1.01,few clouds
299,Ulladulla,AU,-35.35,150.4667,71.6,100,90,4.61,moderate rain
300,Rorvik,NO,64.8621,11.2373,24.76,91,15,6.67,few clouds
301,Bubaque,GW,11.2833,-15.8333,78.4,63,94,17.52,overcast clouds
302,Manyoni,TZ,-5.7467,34.8382,62.89,94,43,1.25,light rain
303,Leningradskiy,RU,69.3833,178.4167,-9.65,87,99,8.19,overcast clouds
304,Joshimath,IN,30.5667,79.5667,29.97,64,31,9.31,scattered clouds
305,Terrace,CA,54.5163,-128.6035,33.8,100,90,12.66,overcast clouds
306,Buraydah,SA,26.326,43.975,53.6,94,75,10.36,light rain
307,Seoul,KR,37.5683,126.9778,39.2,81,75,6.91,broken clouds
308,Teknaf,BD,20.8624,92.3058,58.24,67,11,4.54,few clouds
309,Klamath Falls,US,42.2249,-121.7817,48.2,49,1,10.36,clear sky
310,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.48,81,5,8.93,clear sky
311,Hobyo,SO,5.3505,48.5268,75.96,75,41,15.12,scattered clouds
312,Constitucion,CL,-35.3333,-72.4167,58.01,87,18,1.59,few clouds
313,Katsuura,JP,35.1333,140.3,44.6,57,40,2.3,scattered clouds
314,Jeremie,HT,18.65,-74.1167,77.04,78,22,4.38,few clouds
315,Yamada,JP,39.4667,141.95,42.01,79,90,9.37,overcast clouds
316,Gijon,ES,43.5357,-5.6615,51.01,87,100,7.0,light rain
317,Upernavik,GL,72.7868,-56.1549,3.45,70,59,5.55,broken clouds
318,Biskamzha,RU,53.4497,89.5272,13.55,90,100,0.83,overcast clouds
319,Ngunguru,NZ,-35.6167,174.5,68.0,66,100,9.53,overcast clouds
320,Luderitz,NA,-26.6481,15.1594,70.63,55,0,19.77,clear sky
321,Fairbanks,US,64.8378,-147.7164,-5.8,65,90,4.61,overcast clouds
322,Sucua,EC,-2.4667,-78.1667,75.2,69,20,5.75,light rain
323,Okha,RU,53.5739,142.9478,-5.82,90,100,19.26,overcast clouds
324,Mana,GF,5.6592,-53.7767,77.22,85,77,13.18,broken clouds
325,Tsaratanana,MG,-16.7833,47.65,73.78,84,80,2.42,broken clouds
326,General Roca,AR,-39.0333,-67.5833,96.8,20,0,8.05,clear sky
327,Haines Junction,CA,60.7522,-137.5108,-5.8,59,97,1.63,overcast clouds
328,Sirajganj,BD,24.45,89.7167,64.8,59,0,4.72,clear sky
329,Healdsburg,US,38.6105,-122.8692,66.2,45,1,6.91,clear sky
330,Taltal,CL,-25.4,-70.4833,64.56,77,29,3.62,scattered clouds
331,Makambako,TZ,-8.8453,34.823,58.6,100,91,4.34,overcast clouds
332,Dicabisagan,PH,17.0818,122.4157,74.89,83,82,5.77,broken clouds
333,Ahipara,NZ,-35.1667,173.1667,71.46,65,100,3.6,overcast clouds
334,Dali,CN,25.7,100.1833,40.84,68,0,2.35,clear sky
335,Aukra,NO,62.7925,6.919,21.2,68,90,9.22,overcast clouds
336,Luanda,AO,-8.8368,13.2343,78.8,83,0,9.22,clear sky
337,Melville,US,40.7934,-73.4151,39.99,81,1,7.54,clear sky
338,Bagua Grande,PE,-5.7561,-78.4411,80.49,62,99,3.24,light rain
339,Dudinka,RU,69.4058,86.1778,-29.88,84,99,4.7,overcast clouds
340,Arman,RU,59.7,150.1667,-5.3,82,87,10.85,overcast clouds
341,Yeniseysk,RU,58.4497,92.1703,3.36,94,98,3.33,overcast clouds
342,Eureka,US,40.8021,-124.1637,54.0,82,1,8.99,clear sky
